Nome,CPF,Matrícula,Notas (Prova 1),Notas (Prova 2),Notas (Prova 3),Notas (Prova 4),Notas (Prova 5),Rematrícula,Faltas,Telefone,Mensalidades em atraso,Curso
Valentina Cunha,999.000.111-88,202319,4.3,5.2,8.9,9.1,6.1,Sim,77,(66) 99999-1302,0,Sistemas de Informação
Yuri Alves,000.111.222-99,202320,7.6,9.5,5.6,7.4,9.5,Não,42,(80) 95050-5410,5,Sistemas de Informação
Amanda Oliveira,987.654.321-00,202321,6.1,6.1,7.1,8.2,8.6,Sim,79,(35) 99452-3270,2,Ciências da Computação
Bruno Santos,876.543.210-11,202322,8.4,8.5,9.4,5.5,7.5,Não,97,(55) 92573-7106,1,Sistemas de Informação
Carolina Lima,765.432.109-22,202323,5.9,7.0,6.6,9.7,6.0,Sim,4,(41) 92647-8185,2,Sistemas de Informação
Diego Fernandes,654.321.098-33,202324,9.3,5.7,8.3,7.5,9.3,Não,32,(62) 93694-5621,5,Sistemas de Informação
Eduarda Carvalho,543.210.987-44,202325,6.5,9.1,5.4,6.6,8.9,Sim,49,(95) 92993-2030,2,Ciências da Computação
Fábio Pereira,432.109.876-55,202326,7.3,6.6,7.9,8.8,6.8,Não,84,(30) 97098-6259,1,Sistemas de Informação
Giovanna Costa,321.098.765-66,202327,8.2,8.8,9.5,7.8,8.5,Sim,67,(42) 93018-1970,2,Ciências da Computação
Henrique Silva,210.987.654-77,202328,4.8,7.3,6.7,6.9,7.4,Não,91,(82) 96381-6644,6,Sistemas de Informação
Isabella Almeida,109.876.543-88,202329,7.4,5.5,8.8,9.4,5.9,Sim,93,(29) 99706-9262,4,Ciências da Computação
Júlio Rodrigues,098.765.432-99,202330,6.6,9.3,5.3,7.6,9.1,Não,61,(59) 96957-2875,0,Ciências da Computação
Larissa Sousa,112.233.445-50,202331,9.1,5.8,6.8,8.3,8.8,Sim,99,(58) 91882-7021,2,Ciências da Computação
Marcelo Gomes,224.466.880-12,202332,5.7,8.2,9.6,5.3,7.3,Não,0,(35) 98447-7192,4,Sistemas de Informação
Natália Cardoso,336.699.002-34,202333,7.1,7.5,6.9,9.8,5.8,Sim,1,(17) 96894-5090,4,Sistemas de Informação
Orlando Martins,448.822.114-56,202334,8.6,6.2,8.4,7.7,9.4,Não,51,(83) 91850-8851,6,Ciências da Computação
Paula Barbosa,550.055.226-78,202335,6.3,9.7,5.1,6.7,9.0,Sim,3,(88) 98364-7644,4,Ciências da Computação
Ricardo Castro,662.388.448-90,202336,9.4,6.8,7.7,8.9,6.7,Não,14,(18) 95253-7054,3,Sistemas de Informação
Sara Ribeiro,774.711.660-12,202337,7.7,8.6,9.7,7.9,8.6,Sim,51,(55) 92279-8535,4,Sistemas de Informação
Thales Mendes,886.044.882-34,202338,8.8,7.1,6.2,7.0,7.2,Não,56,(50) 95805-2107,0,Ciências da Computação
Vitória Cunha,998.377.994-56,202339,4.2,5.3,8.6,9.5,5.6,Sim,43,(41) 95284-2876,3,Sistemas de Informação
Wagner Alves,000.700.106-78,202340,6.4,9.6,5.0,7.7,9.7,Não,51,(74) 98237-4467,1,Sistemas de Informação
Aline Oliveira,111.933.218-90,202341,9.0,5.1,6.7,8.4,8.9,Sim,35,(82) 96841-4438,3,Sistemas de Informação
Breno Santos,223.266.330-12,202342,5.6,8.0,9.8,5.1,7.1,Não,36,(64) 99809-7986,3,Sistemas de Informação
Carla Lima,335.599.442-34,202343,7.0,7.7,7.0,9.9,5.5,Sim,49,(46) 98665-9873,4,Ciências da Computação
Diogo Fernandes,447.822.554-56,202344,8.5,6.4,8.5,7.9,9.6,Não,90,(61) 98533-7923,6,Ciências da Computação
Elisa Carvalho,559.155.666-78,202345,6.0,9.9,4.9,6.8,9.2,Sim,69,(31) 94503-8754,2,Sistemas de Informação
Fernando Pereira,661.488.778-90,202346,9.6,6.5,7.5,9.0,6.6,Não,60,(23) 96340-8339,4,Ciências da Computação
Gabrielle Costa,773.721.890-12,202347,7.2,8.4,9.9,8.0,8.7,Sim,68,(78) 94213-1216,4,Ciências da Computação
Hugo Lima,885.054.002-34,202348,8.0,7.8,6.3,7.1,7.1,Não,53,(80) 91585-2919,1,Sistemas de Informação
Izabel Rodrigues,997.387.114-56,202349,4.5,5.0,8.2,9.3,5.4,Sim,84,(65) 97845-8344,5,Sistemas de Informação
José Sousa,009.710.226-78,202350,6.8,9.8,4.8,7.8,9.8,Não,31,(88) 92973-3250,3,Ciências da Computação
Lara Carvalho,110.943.338-90,202351,9.2,7.9,6.6,8.5,9.0,Sim,7,(61) 92831-4870,4,Sistemas de Informação
Maurício Ferreira,222.276.450-12,202352,5.5,6.2,9.9,4.9,7.0,Não,45,(23) 97731-2267,4,Ciências da Computação
Nádia Cardoso,334.509.562-34,202353,6.9,9.2,7.1,8.9,5.3,Sim,71,(70) 97976-3500,0,Sistemas de Informação
Oscar Martins,446.742.674-56,202354,8.4,5.8,8.3,8.0,9.9,Não,9,(28) 93359-7137,1,Sistemas de Informação
Pâmela Barbosa,558.975.786-78,202355,6.1,8.1,4.7,6.9,9.3,Sim,63,(16) 98034-9152,5,Ciências da Computação
Rafaela Castro,660.208.898-90,202356,9.7,7.5,7.3,9.1,6.5,Não,74,(87) 97758-7558,1,Sistemas de Informação
Sônia Ribeiro,772.442.900-12,202357,7.3,6.7,9.8,8.1,8.8,Sim,24,(11) 96079-6207,4,Sistemas de Informação
Thierry Mendes,884.675.012-34,202358,7.9,8.9,6.4,7.2,6.9,Não,0,(78) 99649-5328,2,Sistemas de Informação
Vanessa Cunha,996.908.124-56,202359,4.8,5.4,8.1,9.2,5.2,Sim,86,(23) 95679-3110,4,Ciências da Computação
Wendell Alves,008.141.236-78,202360,6.6,9.0,4.6,7.9,9.5,Não,48,(70) 93856-9089,6,Ciências da Computação
Alessandra Oliveira,119.474.348-90,202361,9.3,6.8,6.5,8.6,9.1,Sim,53,(10) 98216-9699,4,Sistemas de Informação
Bruna Santos,221.707.460-12,202362,5.4,8.3,9.7,4.7,6.9,Não,13,(28) 93366-1389,6,Sistemas de Informação
Carlos Lima,333.940.572-34,202363,6.8,7.4,7.2,8.8,5.1,Sim,72,(98) 96429-8914,4,Ciências da Computação
Denise Fernandes,445.173.684-56,202364,8.3,5.6,8.4,8.2,9.8,Não,42,(73) 99548-5937,2,Ciências da Computação
Emanuela Carvalho,557.406.796-78,202365,6.2,9.5,4.5,6.8,9.4,Sim,21,(50) 99831-3143,1,Ciências da Computação
Feliciano Pereira,669.639.908-90,202366,9.8,6.6,7.1,9.2,6.4,Não,83,(18) 98301-1568,3,Sistemas de Informação
Giovana Costa,771.872.020-12,202367,7.4,8.7,9.6,8.2,8.9,Sim,31,(43) 96199-1763,3,Sistemas de Informação
Hélio Silva,883.105.132-34,202368,7.8,7.2,6.5,7.3,6.8,Não,81,(21) 93659-7735,2,Sistemas de Informação
Ivone Almeida,995.338.244-56,202369,4.6,5.2,8.0,9.1,5.0,Sim,30,(13) 93734-1627,6,Ciências da Computação
Jonas Rodrigues,007.571.356-78,202370,6.4,9.4,4.4,7.8,9.6,Não,91,(64) 93393-8878,0,Ciências da Computação
Larissa Sousa,118.804.468-90,202371,9.4,6.7,6.4,8.7,9.2,Sim,80,(82) 97219-4474,0,Ciências da Computação
Marcos Gomes,220.137.580-12,202372,5.3,8.5,9.5,4.5,6.8,Não,31,(27) 96712-1833,2,Sistemas de Informação
Natasha Cardoso,332.370.692-34,202373,6.7,7.3,7.3,8.7,5.0,Sim,6,(18) 99460-6996,2,Sistemas de Informação
Orlando Martins,444.603.804-56,202374,8.2,5.7,8.6,8.3,9.7,Não,41,(56) 92919-5175,1,Sistemas de Informação
Priscila Barbosa,556.836.916-78,202375,6.3,9.3,4.3,6.7,9.5,Sim,64,(99) 92835-6149,5,Sistemas de Informação
Rafael Castro,669.070.028-90,202376,9.9,6.4,6.9,9.3,6.3,Não,95,(66) 98466-6442,3,Ciências da Computação
Simone Ribeiro,770.303.140-12,202377,7.5,8.8,9.4,8.3,9.0,Sim,34,(79) 95202-2162,5,Ciências da Computação
Thiago Mendes,882.536.252-34,202378,7.7,7.1,6.6,7.4,6.7,Não,37,(41) 96386-1918,2,Ciências da Computação
Viviane Cunha,994.769.364-56,202379,4.4,5.5,7.9,9.0,4.9,Sim,1,(94) 94387-2235,6,Ciências da Computação
Wilian Alves,006.002.476-78,202380,6.2,9.1,4.2,7.7,9.4,Não,62,(40) 93773-7867,6,Sistemas de Informação
Alexandra Oliveira,117.335.588-90,202381,9.5,6.6,6.3,8.8,9.3,Sim,69,(71) 96389-9495,4,Sistemas de Informação
Benjamin Santos,219.668.700-12,202382,5.2,8.2,9.3,4.3,6.7,Não,14,(67) 97804-1332,3,Sistemas de Informação
Camila Lima,331.901.812-34,202383,6.6,7.0,7.4,8.6,4.8,Sim,86,(79) 94792-4514,3,Sistemas de Informação
Daniel Fernandes,443.134.924-56,202384,8.1,5.3,8.7,8.4,9.6,Não,73,(69) 91776-3199,0,Sistemas de Informação
Elisabete Carvalho,555.367.036-78,202385,6.4,9.6,4.1,6.6,9.6,Sim,91,(77) 99806-3077,4,Ciências da Computação
Francisco Pereira,667.600.148-90,202386,9.8,6.3,6.7,9.4,6.2,Não,9,(85) 95079-5498,3,Sistemas de Informação
Gabriela Costa,779.933.260-12,202387,7.6,8.6,9.2,8.4,9.1,Sim,88,(93) 97911-9002,1,Ciências da Computação
Henrique Lima,881.266.372-34,202388,7.6,7.0,6.7,7.5,6.6,Não,77,(83) 95973-7718,0,Ciências da Computação
Isabel Rodrigues,993.499.484-56,202389,4.2,5.1,7.8,8.9,4.7,Sim,38,(57) 99055-4987,6,Ciências da Computação
Joana Sousa,005.732.596-78,202390,6.0,9.7,4.0,7.6,9.3,Não,35,(79) 92948-9428,4,Sistemas de Informação
Larissa Carvalho,116.165.608-90,202391,9.6,6.5,6.2,8.9,9.4,Sim,76,(12) 98167-8682,0,Ciências da Computação
Marcelo Ferreira,218.498.720-12,202392,5.1,8.0,9.1,4.1,6.6,Não,74,(86) 95320-7339,1,Sistemas de Informação
Natália Cardoso,330.731.832-34,202393,6.5,7.9,7.5,8.5,4.6,Sim,18,(45) 95674-1938,6,Sistemas de Informação
Orlando Martins,442.964.944-56,202394,8.0,6.1,8.8,8.5,9.5,Não,46,(38) 94263-3642,2,Sistemas de Informação
Paulo Barbosa,554.197.056-78,202395,6.5,9.8,3.9,6.5,9.7,Sim,17,(97) 95243-2481,4,Sistemas de Informação
Rafael Castro,666.430.168-90,202396,9.7,6.2,6.5,9.5,6.1,Não,37,(87) 91601-4204,0,Sistemas de Informação
Sandra Ribeiro,,202397,7.7,8.4,9.0,8.5,9.2,Sim,13,(83) 91058-6862,2,Sistemas de Informação
Thiago Mendes,,202398,7.5,7.8,6.8,7.6,6.5,Não,54,(78) 93333-9897,4,Ciências da Computação
Valéria Cunha,,202399,4.0,5.0,7.7,8.8,4.5,Sim,4,(78) 99449-4730,4,Sistemas de Informação
Yasmin Alves,,202400,5.8,9.9,3.8,7.5,9.1,Não,48,(96) 94583-2676,2,Sistemas de Informação
